Name,Postal Code,Fips,Pop
Alabama,AL,1,4903185
Alaska,AK,2,731545
Arizona,AZ,4,7278717
Arkansas,AR,5,3017804
California,CA,6,39512223
Colorado,CO,8,5758736
Connecticut,CT,9,3565287
Delaware,DE,10,973764
District of Columbia,DC,11,705749
Florida,FL,12,21477737
Georgia,GA,13,10617423
Hawaii,HI,15,1415872
Idaho,ID,16,1787065
Illinois,IL,17,12671821
Indiana,IN,18,6732219
Iowa,IA,19,3155070
Kansas,KS,20,2913314
Kentucky,KY,21,4467673
Louisiana,LA,22,4648794
Maine,ME,23,1344212
Maryland,MD,24,6045680
Massachusetts,MA,25,6892503
Michigan,MI,26,9986857
Minnesota,MN,27,5639632
Mississippi,MS,28,2976149
Missouri,MO,29,6137428
Montana,MT,30,1068778
Nebraska,NE,31,1934408
Nevada,NV,32,3080156
New Hampshire,NH,33,1359711
New Jersey,NJ,34,8882190
New Mexico,NM,35,2096829
New York,NY,36,19453561
North Carolina,NC,37,10488084
North Dakota,ND,38,762062
Ohio,OH,39,11689100
Oklahoma,OK,40,3956971
Oregon,OR,41,4217737
Pennsylvania,PA,42,12801989
Rhode Island,RI,44,1059361
South Carolina,SC,45,5148714
South Dakota,SD,46,884659
Tennessee,TN,47,6829174
Texas,TX,48,28995881
Utah,UT,49,3205958
Vermont,VT,50,623989
Virginia,VA,51,8535519
Washington,WA,53,7614893
West Virginia,WV,54,1792147
Wisconsin,WI,55,5822434
Wyoming,WY,56,578759
